ts,number,pick_lat,pick_lng,drop_lat,drop_lng
2018-04-07T10:46:41.000+05:30,84744,12.908185,77.610916,12.901049,77.58596
2018-04-07T10:47:09.000+05:30,84744,12.908185,77.610916,12.901049,77.58596
2018-04-07T10:47:27.000+05:30,23057,12.9084425,77.63053000000002,12.92476,77.63879399999998
2018-04-07T10:47:49.000+05:30,23057,12.9084425,77.63053000000002,12.92476,77.63879399999998
2018-04-07T10:55:58.000+05:30,23057,12.908445,77.63056,12.92476,77.63879399999998
2018-04-07T10:56:07.000+05:30,23057,12.908445,77.63056,12.92476,77.63879399999998
2018-04-07T11:01:11.000+05:30,09701,13.044919,77.64188,12.975614,77.60547
2018-04-07T11:01:35.000+05:30,09701,13.033071,77.64034000000002,12.975614,77.60547
2018-04-07T11:02:17.000+05:30,09701,13.033071,77.64034000000002,12.975614,77.60547
2018-04-07T11:07:43.000+05:30,62211,12.984074,77.56524,12.936875,77.62747
2018-04-07T11:14:57.000+05:30,61353,12.908975,77.622025,12.9133415,77.651764
2018-04-07T11:23:02.000+05:30,61353,12.908942,77.62204,12.9133415,77.651764
2018-04-07T11:35:17.000+05:30,30386,12.940372,77.6264,12.935915,77.616066
2018-04-07T11:38:27.000+05:30,25132,12.971962,77.6937,12.989463,77.59303
2018-04-07T11:38:49.000+05:30,25132,12.971962,77.6937,12.989463,77.59303
2018-04-07T11:47:38.000+05:30,56219,12.898,77.61446,12.974435,77.60677
2018-04-07T11:48:28.000+05:30,56219,12.897956,77.61309,12.974435,77.60677
2018-04-07T11:54:16.000+05:30,30840,12.919271,77.63243,12.934775,77.61232
2018-04-07T11:57:16.000+05:30,90811,12.918739,77.67374000000002,12.920162,77.68555500000002
2018-04-07T11:59:55.000+05:30,90811,12.918739,77.67374000000002,12.920162,77.68555500000002
2018-04-07T12:07:27.000+05:30,90811,12.918696,77.67388000000003,12.920162,77.68555500000002
2018-04-07T12:10:58.000+05:30,59670,12.970384,77.64609,12.989697,77.6812
2018-04-07T12:24:47.000+05:30,57717,13.029884,77.56354,12.96551,77.53474399999998
2018-04-07T12:29:44.000+05:30,88928,12.954772,77.6945,12.958785,77.699905
2018-04-07T12:30:31.000+05:30,88928,12.954772,77.6945,12.958785,77.699905
2018-04-07T12:30:38.000+05:30,88928,12.954772,77.6945,12.958785,77.699905
2018-04-07T12:30:43.000+05:30,88928,12.954772,77.6945,12.958785,77.699905
2018-04-07T12:30:51.000+05:30,88928,12.954772,77.6945,12.958785,77.699905
